business_name,business_url,business_avg_monthly_sales,business_avg_net_revenue,business_sub_start_date,business_sub_end_date,subscription_name,subscription_order_max,subscription_monthly_price,subscription_yearly_price,internal_order_number,order_total,order_subtotal,order_tax,order_shipping_amount_paid,order_shipping_cost,order_product_cost,order_total_refund,order_creation_date,order_fulfilled_date,order_cancellation_date,order_financial_status,order_discount_amount,order_discount_code,order_country,order_state,order_zip,order_address1,order_address2,order_billing_country,order_billing_state,order_billing_zip,order_billing_address1,order_billing_address2,lineitem_title,lineitem_sku,lineitem_gross_revenue,lineitem_net_revenue,lineitem_discount_amount,lineitem_quantity,linetem_tax,lineitem_cost,customer_name,customer_email,customer_phone,customer_first_order_date,customer_last_order_date,customer_avg_ltv,customer_address1,customer_address2,product_title,product_amount,product_cost,product_description,product_sku
Rodriguez-Ward,https://gray.com/,737591.9279041017,475766.50757917855,2020-04-11 00:00:00,2020-06-14 00:00:00,Ultra,368,98,1176,139738,34.521928671734045,29.484964466687625,17.387950980307615,5.986273942953391,3.54147827610829,7.971833721462895,3.375937249989085,2022-07-18 00:00:00,2022-07-22 00:00:00,2022-07-19 00:00:00,Pending,10.639980796179247,lawyer,PA,New Hampshire,76699,800 Perry Lodge Suite 917,Apt. 440,KW,Minnesota,23937,6915 Bartlett Land,Apt. 423,describe,themselves,37.79941940974457,33.90977152192549,18.989875963666044,2,8.121913582666828,18.82379672086615,Robert Brewer,lloydtravis@example.org,001-581-265-7000x87011,2022-12-30 00:00:00,2023-05-12 00:00:00,1332.5722319276506,34766 Castillo Glen Apt. 041,Suite 691,throughout,20.188252058692644,7.385252835566101,Present ability lay item government bad above.,explain
Chang-Smith,https://randolph.biz/,309611.54660212825,395576.22285933694,2022-01-17 00:00:00,2022-05-02 00:00:00,Premium,240,31,372,138643,151.19565596729902,145.8126275801626,24.687099336940452,5.39951839412544,2.6979613814845327,6.298175993402127,6.332897576853509,2021-06-07 00:00:00,2021-06-12 00:00:00,2021-06-08 00:00:00,Pending,2.329519309057284,wear,SE,West Virginia,22928,38757 Ibarra Green,Apt. 598,WS,Maine,94747,036 Kyle Circle Suite 385,Suite 169,thing,sea,219.0040479131062,216.8701938998994,22.974820418295355,5,7.854897075491819,10.98037011828508,Thomas Vega PhD,tyler01@example.org,787.275.0556x339,2023-07-22 00:00:00,2024-05-06 00:00:00,1522.262491828647,908 Lopez Haven,Suite 124,reality,110.69340358143255,10.092787122246209,Language response common marriage clear defense rest who play husband reach.,suddenly
Johnson LLC,https://hamilton.com/,666945.6874511791,630729.6128264351,2023-01-18 00:00:00,2023-09-25 00:00:00,Ultra,368,98,1176,235453,71.7313173370684,69.18505926106035,2.27434113939337,6.123923250261676,1.3062860105037855,8.740505821880278,18.60824257430977,2021-08-01 00:00:00,2021-08-05 00:00:00,2021-08-09 00:00:00,Paid,0.0848422559802553,quickly,CR,Hawaii,97787,755 Thompson Rapid,Suite 132,ML,Georgia,44712,2048 Hubbard Trafficway Suite 557,Suite 820,believe,she,34.28012155786103,25.37747412034725,8.47453421789104,3,3.712354769484193,16.852167000980785,Andrea Edwards,bryantsusan@example.net,001-687-770-7160x041,2023-06-16 00:00:00,2023-06-30 00:00:00,527.2066424122011,18772 Gregory Pine,Suite 690,nice,85.45932609405509,15.116088512799612,Family I interest shake east serious image general example surface.,style
"Taylor, Lopez and Johnston",http://allen-roberts.com/,718252.8333183958,718166.0203969638,2022-10-07 00:00:00,2023-03-12 00:00:00,Ultra,368,98,1176,749099,20.72733006500576,16.31682690584165,26.392476422097396,15.251876394058998,2.4685992688459835,14.578067905589382,15.597311016222843,2023-05-17 00:00:00,2023-05-18 00:00:00,2023-05-26 00:00:00,Pending,13.789071341156571,information,LV,New Hampshire,34187,1493 Carol Branch Apt. 602,Apt. 284,IR,Kansas,69575,054 Morris Loop Apt. 392,Apt. 537,let,very,272.9718851334952,272.0543492410498,25.820445993597392,3,7.945547394871882,11.412658644077995,Marcus Potter,pjacobson@example.com,001-232-834-1294x12877,2020-03-07 00:00:00,2020-07-11 00:00:00,1568.39364057204,96860 Kristy Court,Apt. 751,rate,148.077790926018,26.390217845024697,Quite beat short early discussion trip finish people break for arm join.,play
"Richardson, Ortiz and Murphy",http://www.porter.net/,964876.8519868328,193251.69472225042,2021-04-08 00:00:00,2022-02-07 00:00:00,Premium,240,31,372,639000,106.04192653521444,105.13214194133838,6.873987072117268,7.667751998150787,2.5813558002371666,9.951857748737389,17.969741292422373,2022-07-21 00:00:00,2022-07-23 00:00:00,2022-07-22 00:00:00,Refunded,12.622400783800533,speech,MH,Wisconsin,15813,435 Green Fords Suite 428,Apt. 189,BO,Tennessee,25980,51011 Pearson Street,Suite 452,boy,sell,39.027431704920815,34.092419011334705,10.621577644047598,5,6.466367877659102,9.903762454981175,Donna Brown,atorres@example.com,275-816-8194x40120,2022-07-28 00:00:00,2022-12-08 00:00:00,731.7099693754344,3949 Williams Green Apt. 931,Suite 463,across,288.56127652728003,7.354694807453459,Building if might either happen maintain he far security two.,ball
"Ramirez, Gardner and Gordon",http://murphy.net/,375525.9430955179,504756.6352694548,2021-06-04 00:00:00,2021-10-07 00:00:00,Ultra,368,98,1176,747651,25.256845685623972,24.78616804016328,5.23389495259738,10.308731212768564,2.6205511272087003,14.384110347823219,14.521755520191459,2021-09-06 00:00:00,2021-09-08 00:00:00,2021-09-15 00:00:00,Paid,0.22104639508349289,rich,GB,Nebraska,33237,4824 Smith Orchard Apt. 801,Apt. 044,DJ,Nevada,28737,29512 Sarah Fork,Suite 558,father,test,265.88391109434417,258.3566472067018,7.962322683897285,3,2.634246382981246,17.16577689426215,Christina Rowe,jennifermclaughlin@example.com,6276026922,2021-05-11 00:00:00,2021-11-01 00:00:00,108.5482958055273,31181 Melissa Streets,Apt. 700,company,381.8714066673083,29.931792119424948,Treatment crime detail campaign carry mean wind professional left discover though.,ahead
Phillips Group,http://king-flores.com/,554029.813002969,408619.87425883714,2020-07-27 00:00:00,2021-05-12 00:00:00,Standard,122,83,996,51016,56.60336545541057,50.7218836200372,19.825451481320425,15.895861305944223,2.4929130803703776,10.068377250562635,13.062074744319832,2021-05-27 00:00:00,2021-06-01 00:00:00,2021-06-03 00:00:00,Paid,7.304472114683014,third,SO,New Jersey,99552,24041 Jose Coves Apt. 864,Apt. 728,MT,Arkansas,46385,520 Jones Ports Suite 436,Suite 753,early,difference,209.96171580683853,205.92398222883048,25.76084899917836,2,4.366755670943072,14.639713682047107,John Anderson,olivercatherine@example.com,+1-739-342-4663x227,2021-08-22 00:00:00,2022-07-14 00:00:00,1603.0316939870474,33367 Stephenson Square Suite 563,Apt. 475,image,377.5300014729225,28.136385055850994,Enough thing decade wait carry upon current increase series occur.,market
Maddox-Thomas,https://www.duncan.com/,469548.66834545304,244965.79690605035,2021-06-23 00:00:00,2022-03-01 00:00:00,Ultra,368,98,1176,656787,122.26876377536996,120.42523513682232,25.263850230774928,6.4378234370842495,3.617191856409317,7.441078778038984,19.419777355030845,2022-06-24 00:00:00,2022-06-26 00:00:00,2022-06-30 00:00:00,Refunded,13.881261734854093,girl,PY,New York,87474,940 Morrison Extension Suite 012,Apt. 835,CG,Mississippi,40359,380 William Mission Apt. 547,Apt. 403,offer,more,38.382695098292885,38.176622442053194,23.906562717004093,4,4.112359026670392,29.922049046077735,Teresa Mueller DVM,tmurray@example.net,854-280-1004x9231,2023-06-29 00:00:00,2023-08-18 00:00:00,1942.0696017432647,3067 Fletcher Glen Suite 148,Apt. 330,which,257.5855583599159,14.178421366689177,Question grow scene media not growth training treat tough will.,health
Harris-Brown,https://www.hoffman.com/,895982.3867203763,777919.8636848668,2023-07-09 00:00:00,2023-11-01 00:00:00,Standard,122,83,996,542168,66.97184819947529,59.7633570940555,3.2119615765772256,0.1196415592021105,0.2776267682023714,8.973476165701747,4.650205728850912,2022-10-12 00:00:00,2022-10-19 00:00:00,2022-10-13 00:00:00,Paid,13.566491506027551,outside,AO,Mississippi,35814,8000 Adams Falls Suite 987,Apt. 011,ZM,Utah,47971,20492 Miller Meadow,Apt. 819,hotel,pressure,240.7726503354698,233.82537519560833,8.913800051490577,4,2.0665113377665287,8.65122027927329,Victor Long,hickstiffany@example.com,451-614-3384x34059,2021-01-18 00:00:00,2021-08-01 00:00:00,615.6550260207051,39794 Kayla Mission Suite 459,Suite 215,spring,434.69293929600485,7.469772840917678,Parent standard especially gun page door throughout work.,buy
"Schultz, Madden and Cox",https://www.thompson.com/,391500.89387349965,546760.097741677,2020-11-08 00:00:00,2021-02-04 00:00:00,Standard,122,83,996,340216,27.44474108460895,20.422157803212443,6.649148370079083,12.01567600147363,4.589244026222058,14.498579861911807,1.165630187938671,2020-01-19 00:00:00,2020-01-20 00:00:00,2020-01-30 00:00:00,Refunded,16.05151767953233,another,UA,Illinois,75197,189 Kevin Pass,Suite 447,GT,West Virginia,79721,99801 Hancock Turnpike,Suite 993,them,deal,85.15087811364889,84.11865718255287,13.822801406575028,4,0.34785626786693724,19.5081855988971,Brenda Washington DVM,tinacharles@example.com,867.204.1479x6031,2021-09-03 00:00:00,2021-12-20 00:00:00,1822.3207557818846,55695 Savannah Rest Suite 145,Suite 144,grow,121.93646485725725,17.02999287472959,World administration moment until house likely.,television
Snyder-Davenport,https://www.garrett-rodriguez.com/,947163.2865348824,371266.6350947784,2021-08-08 00:00:00,2021-12-21 00:00:00,Standard,122,83,996,814543,101.73818258906002,99.76034354417608,9.764239022658574,8.498313738621658,3.9747572687118202,5.199590326544622,4.102179156449653,2023-06-12 00:00:00,2023-06-13 00:00:00,2023-06-19 00:00:00,Refunded,10.797241956411348,history,KZ,Pennsylvania,04427,066 Jay Knoll,Suite 355,BG,Missouri,56244,39204 Mata Key Suite 991,Apt. 763,change,accept,164.06815363121694,157.47662778759414,2.3202625382245676,1,4.127483473891673,25.67599825761309,Jose Nielsen,katherineortiz@example.com,855-424-2769x38417,2022-12-26 00:00:00,2023-07-28 00:00:00,1864.413685305584,00615 Washington Lake,Suite 081,agree,298.24529724623306,24.316544240560468,Book election beautiful avoid trial out develop establish require condition.,audience
Combs-Thompson,http://www.brown-wilson.org/,174615.49189424756,623848.3686944307,2020-01-15 00:00:00,2020-06-17 00:00:00,Standard,122,83,996,233202,46.38902360807048,36.716254231930094,7.757492219562697,1.397906750467881,2.772004544678575,8.903543773452835,16.847911975405285,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,Paid,5.88026808444236,chair,AZ,Louisiana,98146,5840 Amber Rapid Apt. 168,Apt. 395,CO,Mississippi,28302,0560 Courtney Village,Apt. 128,condition,property,202.26245568785563,201.89153280395928,2.086472452996685,3,2.509795914305326,15.184213823398178,Tyler Brown,georgelutz@example.org,+1-980-933-5943x3120,2022-02-20 00:00:00,2022-05-03 00:00:00,475.3501789218568,724 Jon Route,Suite 185,street,88.49460605686065,22.276344923576552,Enjoy bring true administration industry speak relationship fire allow lay pay computer civil.,subject
Rodriguez-Flores,https://price-santiago.biz/,282836.4900270824,328149.9183212476,2021-04-08 00:00:00,2021-05-19 00:00:00,Premium,240,31,372,586488,67.55357288865785,57.652407714009414,10.375993408844035,1.4313073620994943,2.705443905038265,5.247371092242396,1.6711946483490592,2020-01-04 00:00:00,2020-01-10 00:00:00,2020-01-15 00:00:00,Refunded,15.825245422508106,drive,GR,Missouri,70267,386 Black Well,Suite 768,MY,Illinois,56814,39602 Elizabeth Radial,Suite 610,what,individual,25.831616585043154,23.37468707035195,19.176364888551582,2,7.237478688541525,9.254733138511627,Tonya House,robert01@example.com,+1-773-785-3831x22255,2023-05-25 00:00:00,2023-06-27 00:00:00,1385.9716740346876,230 Vega Row,Suite 760,support,13.776624408018433,9.1299495307318,Cost hear magazine turn hope manage contain compare degree some speak economy along.,participant
Peters PLC,http://www.lucas-guerrero.com/,602674.9618617283,513301.12403684773,2021-04-10 00:00:00,2021-05-30 00:00:00,Premium,240,31,372,436208,148.42902350635867,148.07339034354143,8.579265010068092,7.797103909162779,1.2472638995017982,9.58825300865825,0.013862022614095082,2022-09-14 00:00:00,2022-09-15 00:00:00,2022-09-21 00:00:00,Paid,3.0217286619389805,economic,FI,Oregon,83596,640 Morales Overpass Suite 723,Suite 650,JP,Wyoming,28456,2569 Barker Hollow Suite 800,Suite 268,around,culture,144.9530105458051,135.4617923089798,26.935732845687387,3,8.989189677369229,25.030013844441,Scott Simpson,caroline65@example.org,216.306.8060x938,2022-10-08 00:00:00,2023-03-28 00:00:00,1297.0283683967386,85751 Sandra Mount Apt. 716,Suite 689,property,87.00545429129346,15.909455087870839,Skin energy center instead order anything car teacher mean hour bar address parent.,plant
"Sawyer, Peters and Wright",https://simmons-curry.com/,921776.9937440027,560837.2247086606,2021-12-16 00:00:00,2022-06-10 00:00:00,Ultra,368,98,1176,776085,116.91240838687196,112.85184787127999,19.183792761151466,7.94703175075004,3.116345026418389,7.671543676624485,14.068489282504801,2020-10-16 00:00:00,2020-10-21 00:00:00,2020-10-28 00:00:00,Paid,12.2331282163513,successful,SZ,Kansas,43865,33958 James Meadows Apt. 373,Apt. 181,AE,Maryland,41904,37023 Ortiz Burgs Apt. 220,Suite 769,blue,want,147.1093381156982,145.35848972978312,29.785257203564143,2,2.1099926888267886,8.879220166131542,Justin Galvan,kleinkeith@example.org,+1-645-714-0282x27645,2022-11-30 00:00:00,2022-12-31 00:00:00,1599.8338560432685,4492 Mccall Trail Apt. 564,Suite 472,international,217.18635265005366,10.908455125923057,Item doctor professor both account few toward.,take
"Rodriguez, Chavez and Nelson",https://martin.com/,456299.4119032971,317495.4563636099,2022-04-05 00:00:00,2023-02-04 00:00:00,Premium,240,31,372,837703,140.4032267827308,135.42782446159043,8.398914595302664,16.463394946043316,0.8479123707138686,5.5856208085137995,18.642892895704847,2022-03-21 00:00:00,2022-03-26 00:00:00,2022-03-30 00:00:00,Refunded,3.3018207348526873,leg,ST,Michigan,06455,2260 Dickson Drive,Suite 238,LK,Wisconsin,08697,3988 Krystal Green Suite 006,Suite 212,both,fact,39.056546115102904,32.585994835799774,17.533387200754532,1,2.0223330377178907,8.03821698184225,David Scott MD,kathleensimpson@example.net,432-462-8389,2021-09-06 00:00:00,2022-06-03 00:00:00,538.5724517611636,73523 Stewart Mission Suite 311,Suite 860,edge,415.1444461701235,8.311003806592183,Light city she nature pressure detail future development gas agency break.,individual
Ray and Sons,https://www.martin.com/,174240.5189170147,327878.41048875876,2022-09-16 00:00:00,2023-01-03 00:00:00,Ultra,368,98,1176,412380,129.8706381772986,120.97914311924625,15.262907761525476,7.203312085386083,4.732092696997945,14.692744389136367,8.330593199403145,2020-05-04 00:00:00,2020-05-10 00:00:00,2020-05-17 00:00:00,Refunded,16.105083428402033,visit,PY,Wisconsin,48518,075 Raymond Village Apt. 506,Apt. 342,GE,Utah,18677,5171 Melissa Terrace,Apt. 555,if,skill,245.8448450031674,240.36293641491682,27.488352732337376,2,2.6201343216191053,9.687298454274384,Jesus Powell,deboraholsen@example.com,(903)397-6776,2022-07-11 00:00:00,2023-04-21 00:00:00,1329.1853397852474,3760 Roberts Rest,Apt. 198,cold,114.56299995522208,29.671124048074745,Agency mission whatever bank total bank require speak.,pass
"Chapman, Durham and White",https://silva-grant.biz/,178670.28531124006,255176.54893895093,2023-06-22 00:00:00,2023-07-29 00:00:00,Standard,122,83,996,849831,93.8131055124692,91.03451159228769,0.6894947492974146,0.9935073798817218,2.594277321687603,6.496827486373732,16.774162465552315,2020-11-14 00:00:00,2020-11-15 00:00:00,2020-11-28 00:00:00,Paid,0.8950408560582868,where,PK,Vermont,06440,1223 Smith Rapids,Suite 795,MM,Maine,20253,5347 Bruce Locks Apt. 915,Suite 293,pretty,less,222.79027532572923,218.71003973174692,10.79200640806312,3,1.0236272860864049,24.633830412346164,Gary Tucker,christopher41@example.org,001-968-934-7318,2022-12-12 00:00:00,2023-03-29 00:00:00,1266.3150398181422,845 Jessica Ports Suite 158,Suite 940,act,154.2427172952079,12.267527501244132,Field affect success similar reason her several look machine seem his per.,before
Gamble PLC,https://www.williams.info/,329768.00455688336,396070.4984927972,2020-12-16 00:00:00,2021-03-07 00:00:00,Ultra,368,98,1176,455087,175.64323288095636,169.3325131501564,2.771902940789709,14.38644810503522,2.609519941558392,13.689095174539878,19.26737196973976,2022-03-10 00:00:00,2022-03-12 00:00:00,2022-03-23 00:00:00,Paid,4.092298869724127,its,TL,Arizona,57250,2674 Bailey Station Apt. 637,Apt. 109,VU,South Carolina,54117,167 Danielle Springs Apt. 974,Apt. 264,budget,of,283.10157122828355,274.9617487647063,5.061649002153761,2,5.468035143707386,10.462444229454558,Paul Rice,pattersonstephanie@example.com,001-907-890-0777,2023-04-04 00:00:00,2023-09-19 00:00:00,1466.6419203466216,9683 Cooper Groves,Apt. 603,television,171.0568391261651,11.151215714141085,Computer these ability wait set soon might page country four executive rate police ten.,executive
Smith-Shea,https://king.com/,941230.3229274623,718411.283102339,2023-01-29 00:00:00,2024-01-06 00:00:00,Premium,240,31,372,11101,22.850974312870765,18.746555398191294,12.52899965356037,15.420995431140499,4.407705639958293,6.014522294645844,14.186272624521681,2020-08-10 00:00:00,2020-08-13 00:00:00,2020-08-12 00:00:00,Paid,13.79616775311131,want,BR,Alaska,65913,891 Owens Gardens Suite 998,Apt. 852,TT,Hawaii,30044,66161 Anna Springs,Apt. 763,choose,thing,156.02204913992568,149.2862952259821,16.513230279785528,4,2.659171578540068,29.895704608756205,Hannah Conley,csmith@example.net,(355)369-1067x582,2021-03-31 00:00:00,2021-10-20 00:00:00,1719.5464971640113,04734 James Turnpike,Apt. 466,course,178.45470862177388,11.321010119038675,Walk building tree ability according best require site consider answer least.,recognize
Smith Group,http://www.cook.biz/,152798.4527795682,223001.9578667366,2022-05-14 00:00:00,2023-04-12 00:00:00,Ultra,368,98,1176,730674,162.97329705448416,159.56537855626402,1.1774794951494727,19.591467367071306,2.9538693206426214,11.242871106318265,15.117176435177289,2021-02-23 00:00:00,2021-02-24 00:00:00,2021-03-01 00:00:00,Refunded,15.569494866746656,room,AR,Minnesota,05752,635 Fred Locks,Suite 607,SE,Arizona,57315,8995 Harrison Crest,Apt. 406,often,western,120.10065126040121,119.09250833221016,6.949629859751417,3,5.351072949788877,15.1462528727066,Cheryl Taylor,blong@example.net,488.727.0987x70146,2022-03-09 00:00:00,2022-04-17 00:00:00,1237.0981243424808,256 Daniel Oval Suite 999,Suite 989,right,252.08015837638123,6.529302110107153,Center church power medical news culture.,generation
Rice-Carter,http://www.johnston-friedman.org/,799784.8468208668,584003.8614263282,2021-07-25 00:00:00,2021-10-01 00:00:00,Standard,122,83,996,804686,112.74813524510702,106.23114615699346,22.931845726538192,17.30530293244793,4.830110994792755,11.377318366873196,14.713358998357819,2021-03-04 00:00:00,2021-03-07 00:00:00,2021-03-17 00:00:00,Paid,17.516835783963874,explain,DK,Virginia,57866,87390 David Bridge,Suite 214,US,Arkansas,26190,5024 Ramirez Plains Apt. 554,Apt. 290,society,add,117.71189610494959,112.15958257473619,0.045269665236808976,4,9.602159076997573,17.23557611139337,John Miller,villarrealkelsey@example.net,309.200.0834x54406,2022-02-15 00:00:00,2022-10-09 00:00:00,709.6914884860728,9160 Christopher Field,Apt. 894,happy,98.38034808772142,13.202284210165994,Risk detail similar what instead your rest data success.,decision
"Robinson, Hood and George",http://blankenship-fischer.com/,369827.47242753993,747091.2830593766,2021-12-12 00:00:00,2022-06-24 00:00:00,Standard,122,83,996,120288,81.37251925194461,73.30091113798936,25.573416029359635,7.856083211992646,3.6258343070939025,9.685296722892208,15.239706161184257,2021-10-05 00:00:00,2021-10-06 00:00:00,2021-10-08 00:00:00,Pending,7.174892595963643,discover,VU,Minnesota,74130,6005 Marsh Gateway Suite 285,Apt. 129,TL,Oregon,04013,28081 Jessica Green Apt. 323,Suite 086,begin,maybe,11.324246789232319,7.493467642722773,11.99027417207098,1,7.766527756841363,19.50453390958409,Tonya Mueller,annette31@example.org,001-439-220-4646x668,2021-02-25 00:00:00,2021-11-26 00:00:00,1677.2955467668842,20709 Deborah Spurs,Apt. 959,along,334.1069980966031,10.760419239396832,Weight Mr behavior culture see society defense appear give.,how
Smith Ltd,http://www.wolfe.info/,104507.69035604266,417591.2983027111,2021-09-13 00:00:00,2021-12-15 00:00:00,Premium,240,31,372,504505,108.39056045247555,101.14099926910916,15.322652124692627,1.9646894670865245,0.7614148125456244,13.105356508499263,1.0498423984543237,2023-05-21 00:00:00,2023-05-22 00:00:00,2023-05-24 00:00:00,Pending,11.756360974387238,range,CA,Nebraska,04722,8226 Deborah Islands Apt. 263,Suite 964,ME,Rhode Island,99483,94654 Christopher Club,Suite 786,how,they,211.73263220433373,206.036705466026,3.5603842108826433,4,4.147669454088225,28.697129042637304,Audrey Smith,tjuarez@example.com,(769)576-3701x38827,2023-06-08 00:00:00,2023-12-16 00:00:00,928.4709403743258,389 Terry Dale,Suite 212,suggest,348.20369550183955,28.355314670203416,Mission tree floor one already peace country keep claim order help challenge.,owner
Thompson-Martinez,https://wright.biz/,273300.4990956572,301517.95748090016,2023-02-15 00:00:00,2023-04-08 00:00:00,Standard,122,83,996,565912,83.82762941765364,80.22264425514979,22.35986909681654,19.7800986783634,1.1559956182557158,9.314798650023224,14.577631057226041,2023-06-14 00:00:00,2023-06-21 00:00:00,2023-06-22 00:00:00,Pending,15.021627681743928,bed,LB,Idaho,39078,5021 Kayla Vista,Suite 266,KH,New York,66726,673 Davis Prairie Suite 342,Suite 095,sound,value,203.50177945219139,199.24374539123565,23.66910974514138,4,4.8444093635675785,19.306394674242046,Heather Brown,martintheresa@example.org,961-293-2599x85873,2020-09-20 00:00:00,2021-08-22 00:00:00,1162.4388522813788,347 Douglas Parks Apt. 290,Suite 331,near,425.0713169659624,26.186002364698417,Test sell one three shake smile boy.,life
Dawson Inc,https://www.morales.com/,140264.98089834966,212466.33272865793,2021-05-30 00:00:00,2021-07-17 00:00:00,Standard,122,83,996,574873,25.81497427842686,19.31165028120169,27.4906420282859,0.5751221764008196,1.4618717770354706,12.453924546054903,5.653285153033152,2022-12-16 00:00:00,2022-12-21 00:00:00,2022-12-30 00:00:00,Paid,3.6607559867221307,house,MZ,Mississippi,53039,537 Monique Well,Apt. 237,TM,Indiana,33754,14380 Thompson Extension,Apt. 366,career,finally,280.9895153819574,274.261355589905,10.079632039178566,4,2.921384544312644,11.703453438237005,Samantha Nguyen,rollinsjaclyn@example.com,944-317-8174x086,2023-07-25 00:00:00,2024-03-03 00:00:00,1232.937134018695,5848 Perez Gardens Suite 601,Suite 272,out,310.2501239921818,19.550609202132897,Article up pretty prove environment little down company wrong imagine strong military.,first
Cortez-Gomez,https://www.mejia.info/,208497.71270604315,305222.70744041307,2020-09-25 00:00:00,2020-12-11 00:00:00,Standard,122,83,996,124272,22.402219884070135,13.683727789613652,24.3091717272833,1.0838025869411139,0.7583736743590946,7.705888950613353,17.13807505857995,2021-03-20 00:00:00,2021-03-26 00:00:00,2021-04-03 00:00:00,Paid,11.365713913020965,beat,MK,Texas,24345,71888 Smith Well Apt. 351,Apt. 768,CV,California,11681,5150 Daniel Flat,Suite 837,contain,society,100.22506943903207,97.31818310306126,26.76828105383006,5,6.126751219918124,12.827328312276439,Dale Huerta,ypowers@example.org,857-861-2112x01866,2022-07-23 00:00:00,2023-02-05 00:00:00,1845.3657032697226,03886 Wyatt Plaza,Apt. 113,season,431.8554999064969,7.875489665941824,Act none health common world home national newspaper score a dark.,area
Freeman Ltd,https://thompson.biz/,804061.524042179,368308.69785150693,2020-06-24 00:00:00,2020-12-30 00:00:00,Ultra,368,98,1176,554642,40.93192657861189,31.62495159921846,2.334450631385656,1.0174099454063912,1.632325962935256,6.186974188406965,10.722652438052078,2021-05-11 00:00:00,2021-05-16 00:00:00,2021-05-19 00:00:00,Refunded,16.577696065807814,section,FR,Rhode Island,22068,9064 Jones Fort Suite 840,Apt. 481,ST,Montana,06102,072 Crystal Loop Apt. 774,Apt. 701,game,value,39.72298687235731,37.615917067773694,0.9761492130897331,4,8.426477439394152,15.751582063745893,Kenneth King,mitchell51@example.com,(629)715-2376x25270,2022-09-03 00:00:00,2023-04-29 00:00:00,1197.8148675114928,1102 Stewart Wells Apt. 816,Suite 089,now,110.98868731121824,17.279793465196384,Father day town test three large.,direction
Thompson-Scott,http://www.love-price.biz/,457044.03910277295,252684.67944632887,2021-12-23 00:00:00,2022-11-09 00:00:00,Standard,122,83,996,442650,183.2568467476902,178.2178812426203,27.19772248649834,5.403472343422755,0.6183098445686069,7.895042850672538,17.478406433267473,2020-02-03 00:00:00,2020-02-08 00:00:00,2020-02-04 00:00:00,Refunded,11.588748800477768,not,SV,Nevada,45419,912 Paul Forge Apt. 003,Apt. 552,BW,Connecticut,94704,464 Salas Dale,Apt. 060,heart,quite,265.65920546764335,265.28511448546226,10.538674362304027,1,2.268565202774133,18.92773198154725,Jeff Sanchez,lvincent@example.org,784.468.5851x75857,2020-09-20 00:00:00,2021-04-12 00:00:00,631.2552997199407,0595 Ashley Landing Suite 435,Apt. 090,identify,471.4993895636242,22.38541713284991,Professional key senior of against sure interest sort.,born
Bruce Group,https://www.thomas-thomas.biz/,320360.78834376525,592742.6043421814,2023-04-14 00:00:00,2023-12-05 00:00:00,Premium,240,31,372,562842,197.9203751698846,197.89388448657985,15.588939461805984,3.944050803192105,3.1645804427239814,12.209767352501414,18.93878401296759,2021-12-07 00:00:00,2021-12-08 00:00:00,2021-12-08 00:00:00,Pending,5.966785855842756,gas,DM,Virginia,77188,2685 Peter Union Suite 882,Apt. 143,PH,Pennsylvania,12431,95384 Mccarty Rest,Suite 152,institution,war,277.4872874275927,267.5600149246454,5.847758950938901,4,3.867470427717313,26.629638962307112,Stephen Jenkins,walkerpatrick@example.org,+1-308-326-1131,2021-03-14 00:00:00,2021-04-14 00:00:00,998.8255028881271,06451 Ramirez Path Apt. 247,Suite 142,pretty,211.56982332710643,26.20494683696212,Rise challenge early affect everybody tax beyond never write matter act hand day.,develop
"Mclean, Coleman and Parrish",http://wilkerson-byrd.com/,907036.6270450702,785820.3901111324,2022-05-04 00:00:00,2022-10-04 00:00:00,Premium,240,31,372,622057,66.60638696739319,61.501683622184345,22.81227571462764,7.291288505073692,3.7202985474057804,6.288410780667288,0.023966279533875756,2023-07-02 00:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,Refunded,3.047606524846509,research,IT,Kansas,26160,8145 David Overpass Apt. 184,Suite 577,BF,Georgia,71729,097 Cuevas Courts Apt. 867,Suite 882,company,soon,73.98329842291199,67.43600543935844,29.754398633912306,4,7.633969857516539,14.663219927676304,Miranda Fuentes,blakeellen@example.org,534-500-4224,2023-04-18 00:00:00,2023-12-31 00:00:00,204.428632946655,2920 Lori Branch,Apt. 629,defense,421.36424421252985,28.329614664245188,Everything painting poor now parent often interesting miss civil may country dog.,technology
"Ortiz, Mclean and Reed",https://reyes-wallace.info/,162629.01279528457,279023.9991042406,2022-06-30 00:00:00,2023-03-22 00:00:00,Ultra,368,98,1176,110364,107.65593847710096,105.92032447278531,11.742828845713936,13.131656671680954,2.6567668144784697,11.147616439339963,9.127082585117343,2023-02-25 00:00:00,2023-02-26 00:00:00,2023-03-02 00:00:00,Paid,3.925750458974553,improve,CL,Arkansas,33127,918 Rebecca Union,Apt. 575,VA,New Jersey,62898,187 English Cliff Apt. 664,Apt. 296,physical,threat,111.17834278053473,109.26586996835658,11.693081401896638,5,6.862121246839086,21.870900910067927,Michael Smith,jennifer52@example.com,+1-605-408-1589,2022-11-15 00:00:00,2023-03-07 00:00:00,1419.3742510842028,24161 Alvarado Island Suite 362,Suite 705,agreement,210.15308124073138,9.12344455969661,Fly strong every easy another us.,man
